Model,Model_Short,Dataset,Direction,Alpha,N_Samples,N_Valid_Parses,N_Successes,Parse_Rate,Failed_Parse_Rate,Success_Rate,Success_Rate_CI,Failed_Parse_CI,Probe_AUC,Best_Layer
Qwen/Qwen2.5-3B-Instruct,Qwen2.5-3B-Instruct,logical_deduction,no→yes,0.0,305,304,21,99.67,0.33,6.91,2.85,0.33,0.69,27
Qwen/Qwen2.5-3B-Instruct,Qwen2.5-3B-Instruct,logical_deduction,no→yes,2.0,111,108,26,97.3,2.7,24.07,8.06,2.7,0.69,27
Qwen/Qwen2.5-3B-Instruct,Qwen2.5-3B-Instruct,logical_deduction,no→yes,4.0,111,110,36,99.1,0.9,32.73,8.77,0.9,0.69,27
Qwen/Qwen2.5-3B-Instruct,Qwen2.5-3B-Instruct,logical_deduction,no→yes,6.0,111,107,39,96.4,3.6,36.45,9.12,3.47,0.69,27
Qwen/Qwen2.5-3B-Instruct,Qwen2.5-3B-Instruct,logical_deduction,no→yes,8.0,111,107,47,96.4,3.6,43.93,9.4,3.47,0.69,27
Qwen/Qwen2.5-3B-Instruct,Qwen2.5-3B-Instruct,logical_deduction,no→yes,10.0,111,103,45,92.79,7.21,43.69,9.58,4.81,0.69,27
Qwen/Qwen2.5-3B-Instruct,Qwen2.5-3B-Instruct,logical_deduction,yes→no,0.0,111,111,19,100.0,0.0,17.12,7.01,0.0,0.69,27
Qwen/Qwen2.5-3B-Instruct,Qwen2.5-3B-Instruct,logical_deduction,yes→no,2.0,305,303,23,99.34,0.66,7.59,2.98,0.66,0.69,27
Qwen/Qwen2.5-3B-Instruct,Qwen2.5-3B-Instruct,logical_deduction,yes→no,4.0,305,303,18,99.34,0.66,5.94,2.66,0.66,0.69,27
Qwen/Qwen2.5-3B-Instruct,Qwen2.5-3B-Instruct,logical_deduction,yes→no,6.0,305,300,28,98.36,1.64,9.33,3.29,1.43,0.69,27
Qwen/Qwen2.5-3B-Instruct,Qwen2.5-3B-Instruct,logical_deduction,yes→no,8.0,305,294,32,96.39,3.61,10.88,3.56,2.09,0.69,27
Qwen/Qwen2.5-3B-Instruct,Qwen2.5-3B-Instruct,sports_understanding,no→yes,0.0,210,210,19,100.0,0.0,9.05,3.88,0.0,0.903,25
