model,dataset,seed,train_size,test_size,experiment_hash,layer,ace_bias,ace_direction_norm,original_accuracy,debiased_accuracy,accuracy_change,prediction_change_rate
Llama-2-7b-chat,sports_understanding,42,500,500,c2403307fcbc,8,2.9000699520111084,0.9999999403953552,0.588,0.552,-0.03599999999999992,0.32
Llama-2-7b-chat,social_chemistry,42,500,500,4fc0d7455d51,8,0.5872164368629456,1.0,0.642,0.688,0.04599999999999993,0.202
Llama-2-7b-chat,logical_deduction,42,500,500,b53c84517b7e,0,-0.7701911330223083,0.9999999403953552,0.564,0.326,-0.23799999999999993,0.294
Llama-2-7b-chat,anachronisms,42,500,500,86c8c3544d93,8,-0.6463189125061035,1.0,0.524,0.512,-0.01200000000000001,0.23
google/gemma-2-2b-it,sports_understanding,42,500,500,196957967491,0,45.777549743652344,0.9999999403953552,0.77,0.694,-0.07600000000000007,0.236
google/gemma-2-2b-it,social_chemistry,42,500,500,1c634bfe9e27,0,34.53646469116211,0.9999999403953552,0.808,0.808,0.0,0.076
google/gemma-2-2b-it,logical_deduction,42,500,500,794854852bab,0,-44.709442138671875,1.0,0.478,0.466,-0.011999999999999955,0.336
google/gemma-2-2b-it,anachronisms,42,500,500,8c7123f7d6d8,4,-31.773555755615234,1.0,0.802,0.728,-0.07400000000000007,0.184
Qwen/Qwen2.5-3B-Instruct,sports_understanding,42,500,500,473af44c713c,0,16.22936248779297,0.9999999403953552,0.798,0.768,-0.030000000000000027,0.166
Qwen/Qwen2.5-3B-Instruct,social_chemistry,42,500,500,85d2e269be42,0,10.971200942993164,1.0,0.856,0.842,-0.014000000000000012,0.08
Qwen/Qwen2.5-3B-Instruct,logical_deduction,42,500,500,d5ee64697b14,0,-6.767561912536621,1.0,0.804,0.614,-0.19000000000000006,0.208
Qwen/Qwen2.5-3B-Instruct,anachronisms,42,500,500,f579d7ebb81c,0,-16.537776947021484,0.9999999403953552,0.816,0.792,-0.02399999999999991,0.21
google/gemma-2-9b-it,sports_understanding,42,500,500,c558c7910064,0,74.03952026367188,1.0,0.886,0.888,0.0020000000000000018,0.066
google/gemma-2-9b-it,social_chemistry,42,500,500,e9149de0e37d,0,54.979461669921875,1.0,0.862,0.878,0.016000000000000014,0.026
google/gemma-2-9b-it,logical_deduction,42,500,500,e19a15cbf685,0,-62.86558151245117,1.0,0.868,0.878,0.010000000000000009,0.098
google/gemma-2-9b-it,anachronisms,42,500,500,b712b2d57180,34,-79.95152282714844,0.9999999403953552,0.908,0.898,-0.010000000000000009,0.044
Qwen/Qwen2.5-7B-Instruct,anachronisms,42,500,500,b30c42f2c806,15,-8.952959060668945,1.0,0.878,0.878,0.0,0.096
microsoft/Phi-3-mini-4k-instruct,sports_understanding,42,500,500,48d9cbf9b62a,27,75.09320068359375,0.9999998807907104,0.63,0.642,0.01200000000000001,0.246
microsoft/Phi-3-mini-4k-instruct,social_chemistry,42,500,500,789e13e405ae,2,-4.132991313934326,0.9999999403953552,0.846,0.742,-0.10399999999999998,0.124
