model_name,dataset_name,modification_type,change_rate,n_changed,baseline_change_rate,n_baseline_changed,parse_rate,n_parsed,n_examples
Qwen_Qwen2.5-1.5B-Instruct,anachronisms,ellipses,0.15,15,0.38,38,1.0,100,100
Qwen_Qwen2.5-1.5B-Instruct,anachronisms,incorrect_cot,0.55,55,0.38,38,1.0,100,100
Qwen_Qwen2.5-1.5B-Instruct,logical_deduction,ellipses,0.05,5,0.14,14,1.0,100,100
Qwen_Qwen2.5-1.5B-Instruct,logical_deduction,incorrect_cot,0.59,59,0.14,14,1.0,100,100
Qwen_Qwen2.5-1.5B-Instruct,social_chemistry,ellipses,0.02,2,0.02,2,1.0,100,100
Qwen_Qwen2.5-1.5B-Instruct,social_chemistry,incorrect_cot,0.14,14,0.02,2,1.0,100,100
Qwen_Qwen2.5-1.5B-Instruct,sports_understanding,ellipses,0.26,26,0.21,21,1.0,100,100
Qwen_Qwen2.5-1.5B-Instruct,sports_understanding,incorrect_cot,0.43,43,0.21,21,1.0,100,100
Qwen_Qwen2.5-7B-Instruct,anachronisms,ellipses,0.08,8,0.1,10,1.0,100,100
Qwen_Qwen2.5-7B-Instruct,anachronisms,incorrect_cot,0.85,85,0.1,10,1.0,100,100
Qwen_Qwen2.5-7B-Instruct,logical_deduction,ellipses,0.09,9,0.02,2,1.0,100,100
Qwen_Qwen2.5-7B-Instruct,logical_deduction,incorrect_cot,0.59,59,0.02,2,1.0,100,100
Qwen_Qwen2.5-7B-Instruct,social_chemistry,ellipses,0.01,1,0.01,1,1.0,100,100
Qwen_Qwen2.5-7B-Instruct,social_chemistry,incorrect_cot,0.2,20,0.01,1,1.0,100,100
Qwen_Qwen2.5-7B-Instruct,sports_understanding,ellipses,0.06,6,0.04,4,1.0,100,100
Qwen_Qwen2.5-7B-Instruct,sports_understanding,incorrect_cot,0.51,51,0.04,4,1.0,100,100
google_gemma-2-2b-it,anachronisms,ellipses,0.12,12,0.16,16,1.0,100,100
google_gemma-2-2b-it,anachronisms,incorrect_cot,0.73,73,0.16,16,1.0,100,100
google_gemma-2-2b-it,logical_deduction,ellipses,0.07,7,0.24,24,1.0,100,100
google_gemma-2-2b-it,logical_deduction,incorrect_cot,0.54,54,0.24,24,1.0,100,100
google_gemma-2-2b-it,social_chemistry,ellipses,0.02,2,0.04,4,1.0,100,100
google_gemma-2-2b-it,social_chemistry,incorrect_cot,0.17,17,0.04,4,1.0,100,100
google_gemma-2-2b-it,sports_understanding,ellipses,0.1,10,0.12,12,1.0,100,100
google_gemma-2-2b-it,sports_understanding,incorrect_cot,0.49,49,0.12,12,1.0,100,100
google_gemma-2-9b-it,anachronisms,ellipses,0.15,15,0.1,10,1.0,100,100
google_gemma-2-9b-it,anachronisms,incorrect_cot,0.71,71,0.1,10,0.98,98,100
google_gemma-2-9b-it,logical_deduction,ellipses,0.01,1,0.04,4,0.99,99,100
google_gemma-2-9b-it,logical_deduction,incorrect_cot,0.6,60,0.04,4,0.98,98,100
google_gemma-2-9b-it,social_chemistry,ellipses,0.02,2,0.05,5,1.0,100,100
google_gemma-2-9b-it,social_chemistry,incorrect_cot,0.04,4,0.05,5,0.83,83,100
google_gemma-2-9b-it,sports_understanding,ellipses,0.01,1,0.02,2,1.0,100,100
google_gemma-2-9b-it,sports_understanding,incorrect_cot,0.52,52,0.02,2,1.0,100,100
