model,dataset,alpha,direction,success_rate_all,success_rate_parsed,parse_rate,total,parsed,unparsed
Gemma-2B,anachronisms,0.0,yes,0.0,0.0,1.0,50,50,0
Gemma-2B,anachronisms,0.0,no,0.15625,0.15625,1.0,32,32,0
Gemma-2B,anachronisms,-2.0,yes,0.0,0.0,0.0,50,0,50
Gemma-2B,anachronisms,2.0,no,0.0,0.0,0.0,32,0,32
Gemma-2B,anachronisms,-4.0,yes,0.0,0.0,0.0,50,0,50
Gemma-2B,anachronisms,4.0,no,0.0,0.0,0.0,32,0,32
Gemma-2B,anachronisms,-6.0,yes,0.0,0.0,0.0,50,0,50
Gemma-2B,anachronisms,6.0,no,0.0,0.0,0.0,32,0,32
Gemma-2B,anachronisms,-8.0,yes,0.0,0.0,0.0,50,0,50
Gemma-2B,anachronisms,8.0,no,0.0,0.0,0.0,32,0,32
Gemma-2B,anachronisms,-10.0,yes,0.0,0.0,0.0,50,0,50
Gemma-2B,anachronisms,10.0,no,0.0,0.0,0.0,32,0,32
Gemma-2B,anachronisms,-12.0,yes,0.0,0.0,0.0,50,0,50
Gemma-2B,anachronisms,12.0,no,0.0,0.0,0.0,32,0,32
Gemma-2B,anachronisms,-14.0,yes,0.0,0.0,0.0,50,0,50
Gemma-2B,anachronisms,14.0,no,0.0,0.0,0.0,32,0,32
Gemma-2B,anachronisms,-16.0,yes,0.0,0.0,0.0,50,0,50
Gemma-2B,anachronisms,16.0,no,0.0,0.0,0.0,32,0,32
Gemma-2B,anachronisms,-18.0,yes,0.0,0.0,0.0,50,0,50
Gemma-2B,anachronisms,18.0,no,0.0,0.0,0.0,32,0,32
Gemma-2B,anachronisms,-20.0,yes,0.0,0.0,0.0,50,0,50
Gemma-2B,anachronisms,20.0,no,0.0,0.0,0.0,32,0,32
Gemma-2B,sports_understanding,0.0,yes,0.023809523809523808,0.023809523809523808,1.0,42,42,0
Gemma-2B,sports_understanding,0.0,no,0.030303030303030304,0.030303030303030304,1.0,33,33,0
Gemma-2B,sports_understanding,-2.0,yes,0.0,0.0,0.0,42,0,42
Gemma-2B,sports_understanding,2.0,no,0.0,0.0,0.0,33,0,33
Gemma-2B,sports_understanding,-4.0,yes,0.0,0.0,0.0,42,0,42
Gemma-2B,sports_understanding,4.0,no,0.0,0.0,0.0,33,0,33
Gemma-2B,sports_understanding,-6.0,yes,0.0,0.0,0.0,42,0,42
Gemma-2B,sports_understanding,6.0,no,0.0,0.0,0.0,33,0,33
Gemma-2B,sports_understanding,-8.0,yes,0.0,0.0,0.0,42,0,42
Gemma-2B,sports_understanding,8.0,no,0.0,0.0,0.0,33,0,33
Gemma-2B,sports_understanding,-10.0,yes,0.0,0.0,0.0,42,0,42
Gemma-2B,sports_understanding,10.0,no,0.0,0.0,0.0,33,0,33
Gemma-2B,sports_understanding,-12.0,yes,0.0,0.0,0.0,42,0,42
Gemma-2B,sports_understanding,12.0,no,0.0,0.0,0.0,33,0,33
Gemma-2B,sports_understanding,-14.0,yes,0.0,0.0,0.0,42,0,42
Gemma-2B,sports_understanding,14.0,no,0.0,0.0,0.0,33,0,33
Gemma-2B,sports_understanding,-16.0,yes,0.0,0.0,0.0,42,0,42
Gemma-2B,sports_understanding,16.0,no,0.0,0.0,0.0,33,0,33
